Name,EVS ID,Histology,Do not code,Remarks,Alternate Name,Primary Site,Abbreviation,NSC number,Category,Sub-category
Epithilone D,,,NO,Phase I Polypeptide. Kosan BioSciences.  Roche,KOS 862;KOS-862;KOS862;R 1492;R-1492;R1492,Other cancer,,,Chemotherapy,Antimitotic agent
Epoetin Alfa,,,YES,Epoetin alfa is a synthetic form of erythropoietin. Erythropoietin is a glycoprotein normally produced in the kidneys and is responsible for the stimulation of red blood cell production,Epogen;Eprex;Glycoform alpha;Human 1-165-erythropoietin;Procrit,,,,AIDS drug;Ancillary Agent,Ancillary
Epothilone,,,NO,"Phase I/II, breast.  Phase III colorectal, other. Phase I pancreatic Epothilone analog.  Tubulin polymerizing agent. Non-taxane microtubule stabilizer. Antiproliferative agent. Novartis Pharmaceuticals. Bristol-Myers Squibb. NCI.",B/EPO906;BMS 247550;BMS-247550;BMS247550;EP 906;Epithialone;EPO 906A;EPO906;EPO906A;Epothilone B;Ixabepilone;Ixempra;Patupilone,Breast;colorectal;endometrial;other cancer;ovary;pancreatic;prostate,,710428;684363,Chemotherapy,Antimitotic agent
Epratuzumab,,,NO,Phase I/II NHL Radiolabeled monoclonal antibody. Immunomedics.,90Y-labeled Epratuzumab;hLL2;LymphoCide;Y-Lymphocide,Lymphoma,,716711,Radiation,Radioisotope
Equilin,,,NO,Estrogen isolated from urine of pregnant horses. Not found in Drugdex drug evaluation.,,,,10971,Hormones and hormonal mechanisms,Estrogen.  Probably not cancer directed--verify with attending MD.
Erdafitinib,,,NO,"April 12, 2019: The  FDA granted accelerated approval to Balversa (erdafitinib), a treatment for adult patients with locally advanced or metastatic bladder cancer that has a type of susceptible genetic alteration known as FGFR3 or FGFR2, and that has progressed during or following prior platinum-containing chemotherapy. Patients should be selected for therapy with Balversa using an FDA-approved companion diagnostic device.

Feb 26, 2018: FDA has granted Breakthrough Therapy Designation for erdafitinib in the treatment of urothelial cancer.",Balversa,Bladder,,,Chemotherapy,FGFR inhibitor
Eribulin,,,NO,"Eribulin mesylate was approved by the US FDA on November 15, 2010, to treat patients with metastatic breast cancer who have received at least two prior chemotherapy regimens for late-stage disease, including both anthracycline and taxane-based chemotherapies. 

January 28, 2016: FDA approved Halaven (eribulin) for the treatment of liposarcoma that cannot be removed by surgery (unresectable) or is advanced/metastatic. this treatment is approved for patients who received prior chemotherapy that contained an anthracycline drug. ",B1939;E7389;ER-086526;eribulin mesylate;Halaven,GYN;Metastatic breast;NSCLC;Pancreas;prostate;urinary sites;Soft tisse,,NSC707389,Chemotherapy,Inhibitor of microtubular dynamics
Erleada,,,NO,"9/20/2019 FDA has approved Erleada (apalutamide) for the treatment of patients with metastatic castration-sensitive prostate cancer (mCSPC).


Feb 14, 2018 FDA approved Erleada (apalutamide) for the treatment of patients with prostate cancer that has not spread, but that continues to grow despite treatment with hormone therapy. This is the first FDA-ap-proved treatment for non-metastatic, castration-resistant prostate cancer. This drug is an androgen receptor inhibitor.",Apalutamide,Prostate,,,Hormones and hormonal mechanisms,Androgen receptor inhibitor
Erlotinib,,,NO,"July 2013 UPDATE: Tarceva received FDA approval as first-line treatment of metastatic non-small cell lung cancer (NSCLC) patients whose tumors have epidermal growth factor receptor (EGFR) mutations. Prior to July 2013, tarceva was approved for use in patients who had failed previous chemotherapy regimens. 

FDA approved for pancreas 2005, NSCLC 2004; Phase II (ovarian) Phase III (breast, head & neck)
Tyrosine kinase inhibitor. Epidermal growth factor inhibitor. ",CP-358774;Erlotinib HCl;OSI-774;Tarceva,Breast;Non-small cell lung cancer (NSCLC);cervical;colorectal;gastric;head & neck;other cancer;ovarian;pancreatic,,718781,Chemotherapy,Cytostatic agent--tyrosine kinase inhibitor;EGF inhibitor
Erwinaze,,,NO,"Erwinaze received FDA approval November 2011 for the treatment of acute lymphoblastic leukemia (ALL). The FDA has designated Erwinaze as an orphan drug, which identifies the disease as affecting fewer than 200,000 people in the U.S.  It is manufactured by EUSA Pharmaceutical.",Asparaginase erwinia chrysanthemi,Acute lymphoblastic leukemia (ALL),,,Chemotherapy,Antineoplastic agent
Erythropoietin,,,YES,Antianemic agent. A glycoprotein normally produced in the kidneys and is responsible for the stimulation of red blood cell production; stimulates RBC production. (See BRMs),Epoetin alfa;Epoetin beta;Epogen;Eprex;Eprox;glycoform beta;Procrit;rHu-EPO,AIDS;Opportunistic infection,EPO,628281,Ancillary Agent,
Estradiol,,,NO,Estrogen very rarely used for advanced ovarian and prostate cancers.,Alora;Aquadiol#;Beta-oestradiol;Climara;Combipatch;Component of Androgyn L.A.;Dihydrofolliculin;Dihydrotheelin;Dihydroxyoestrin;Diogyn;Diogynets;Esclim;Estrace;Estraderm;Estraderm TTS;Estring;Estrogel;Fempatch;Progynon#;Vagifem;Vivelle,,,009895;9895,Hormones and hormonal mechanisms,Estrogen.  Probably not cancer directed--verify with attending MD.
Estradiol Benzoate,,,NO,Estrogen ester of estradiol,Progynon B,,,9566,Hormones and hormonal mechanisms,Estrogen.  Probably not cancer directed--verify with attending MD.
Estradiol Cypionate,,,NO,Estrogen ester or estradiol,Component of Depo-Testadiol;DepGynogen;Depo-Estradiol,,,,Hormones and hormonal mechanisms,Estrogen.  Probably not cancer directed--verify with attending MD.
Estradiol Dipropionate,,,NO,Estrogen ester of estradiol,Ovocyclin dipropionate#,,,3354,Hormones and hormonal mechanisms,Estrogen.  Probably not cancer directed--verify with attending MD.
Estradiol Mustard,,,NO,Estrogen ester or estradiol,,,,112259,Hormones and hormonal mechanisms,Estrogen.  Probably not cancer directed--verify with attending MD.
Estradiol Valerate,,,NO,Estrogen ester of estradiol.,Component of Deladumone;Component of Deluteval 2X#;Component of Ditate#;Delestrogen;Gynogen L.A.,,,17590,Hormones and hormonal mechanisms,Estrogen.  Probably not cancer directed--verify with attending MD.
Estramustine Phosphate Sodium,,,NO,"A nitrogen mustard antineoplastic agent. Chemotoxic hormone.  An antineoplastic agent consisting of estradiol joined to nornitrogen mustard by a carbamate link, phosphorylated to make it water soluble; used for palliative treatment of metastatic or progressive carcinoma of the prostate. Single agent or combined with taxane for HRPC. FDA approved use on prostate cancer. Pharamcia.",Emcyt;Emcyt IV;Estracyt;Estramustine phosphate disodium;Leo 275;Leo275;Ro 21-8837;Ro 21-8837/001;Ro 218837;Ro 22-2296/000;Ro 222296/000;Ro-218837,Prostate cancer,,089199;089201;89199,Chemotherapy,Antimicrotubule agent
Estriol,,,NO,"Estrogen.  The official preparation of the hormone, now rarely used; administered orally.",Theelol#,,,12169,Hormones and hormonal mechanisms,Estrogen.  Probably not cancer directed--verify with attending MD.
"Estrogens, Conjugated",,,NO,"A combination of the sodium salts of the sulfate esters of estrogenic substances.  Derived from pregnant mares' urine or prepared synthetically from estrone and equilin; the actions and uses are those of estrogens, administered orally. ",C.E.S.;Cenestin;Component of Cyclogesterin#;Component of Milprem;Component of PMB-200;Component of PMB-400;Component of Premarin with Methyltestosterone;Congest;Conjugated Estrogens;Conjugated Estrogens CSD;Estrocon;Estrofol;Estrogen;Genesis;Menotab;Premarin;Ultrogen,,,18313,Hormones and hormonal mechanisms,Estrogen.  Probably not cancer directed--verify with attending MD.
"Estrogens, Esterified",,,NO,"A combination of the sodium salts of the sulfate esters of estrogenic substances, principally estrone, having the the actions and uses of estrogens; palliative.",Amnestrogen#;Component of Estratest;Component of Menrium;Esterified Estrogens;Estratab;Evex;Menest;Neo-Estrone;SK-Estrogens,,,,Hormones and hormonal mechanisms,Estrogen.  Probably not cancer directed--verify with attending MD.
Estrone,,,NO,"Estrogen used as replacement therapy in cases of hypogonadism, ovariectomy, primary ovarian failure, atrophic vaginitis, vasomotor menopausal symptoms, and vulvar squamous hyperplasia and in the treatment of abnormal uterine bleeding, but also used in advanced prostatic carcinoma.",Aquest;Crystogen;Femogen Forte;Follicular Hormone;Folliculin;Kestrone;Ketohydroxyoestrin;Neo-Amniotin;Neo-Estrone;Oestrilin;Sodestrin;Theelin;Ultrogen D.A.;Unigen;Wehgen,Prostate cancer,,9699,Hormones and hormonal mechanisms,Estrogen
Estropipate,,,NO,Estrogen--compound of estrone sulfate and piperazine.,Component of Ortho-Cyclen;Estrone Piperazine Sulfate;Ogen;Ortho-Est;Piperazine Estrone Sulfate;Piperazine oestrone sulfate#;Sulestrex#,,,,Hormones and hormonal mechanisms,Estrogen
Etanercept,,,NO,TNF antagonist with limited applications in cancer.  Primarily a rheumatoid arthritis palliater.  Immunex.,Enbrel,CTCL,,,"Biologic therapy (BRM, immunotherapy)",Tumor necrosis factor modulator
Etanidazole,,,NO,Hypoxic cell radiosensitizer. Chemo-/radiosensitization: not recommended at present; conclusive evidence of efficacy not established for any potential indication.,DUP 453;DUP-453;DUP453;Radinyl;SP-2508;SR 2508;SR-2508;SR2508,,SN,"301467, 314055",Ancillary Agent,Radiosensitizer
Ethacrynic Acid,,,YES,"A short-acting loop diuretic. Ethacrynic acid is a potent, rapidly-acting diuretic that is generally reserved for patients who do not respond to thiazide diuretics. It has been used effectively to treat hypertension, congestive heart failure, and pulmonary edema.",Edecrin;Etacrynate;Etacrynic Acid;MK 595;MK-595;MK595,,,85791,Ancillary Agent,Diuretic
Ethambutol Hydrochloride,,,YES,A synthetic antimycobacterial agent. Under investigation for Rx of Mycobacterium Avium Complex (MAC; Rx of tuberculosis),CL 40881;CL-40881;CL40881;Etibi;Myambutol,,,,AIDS drug,
Ethidium chloride,,,NO,Mutagen--no longer on market,Babidium chloride;Homidium chloride;Novidium chloride,,,84423,Chemotherapy,No longer in use
Ethinyl Estradiol,,,NO,"An orally effective semisynthetic derivative of estradiol, one of the most potent estrogens. It is a component of many oral contraceptives and is also used in estrogen replacement therapy.  Not found in Drugdex drug evaluation.",Alesse;Brevicon;Chee-O-Gen;Chee-O-Genf;Component of Brevicon;Component of Demulan;Component of Levlen;Component of Lo/Ovral;Component of Loestrin;Component of Lynoral#;Component of Modicon;Component of Nordette;Component of Norethrin 1/35E;Component of Norlestrin;Cyclen;Desogen;Diogyn E;Dyloform;Esteed;Estigyn;Estinyl;Eston-E;Estoral;Estrostep;Ethidol;Ethinoral#;Ethinyl Estradiol;Ethinyloestradiol;Eticyclin;Eticylol#;Etinestrol;Feminone;Gencept;Genora;Ginestrene;Halodrin;Inestra;Jenest;Levlen;Levora;Lo/Ovral;Loestrin;Marvelon;Menolyn;Microfollin;Min-Ovral;Minestrin;Mircette;Modicon;Necon;Nee;Nelova;Nelulen;Neo-Mens;Norcept-E;Norinyl;Novestrol;Oradiol;Orestralyn;Ortho Cyclen;Ortho Tro-Cyclen;Ortho-Cept;Ortho-Novum;Ovcon;Ovral;Palonyl Perovex;Preven;Spanestrin;Tri-Cyclen;Tri-Levlen;Tri-Norinyl;Triphasil;Triquilar;Trivora;Zovia,,,010973;10973,Hormones and hormonal mechanisms,Estrogen.  Probably not cancer directed--verify with attending MD.
Ethiodized Oil I-131,,,YES,"Radiopaque organic iodine compound. Ethiodized Oil emulsion appears to be sensitive in detecting hepatic metastases, however, further studies are required to compare other imaging procedures before any recommendations can be made; radio-opaque medium. ",Et esters iodinated;Ethiodol;Ethiodol-131#;Fatty acids;Iodised Oil;labeled with iodine-131;Lipiodol;poppy seed-oil,,,727255,Ancillary Agent,
Ethionamide,,,YES,A bacteriostatic agent effective against mycobacteria (antimycobacterial drug).,1314-TH;1314TH;Ethionamidum;Etionamide;TH-1314;TH1314;Trecator-SC,,,,AIDS drug,
Ethoglucid,,,NO,,Epodyl;Etoglucid;ICI 32865;ICI-32865,,,80439,Chemotherapy,Alkylating agent
Ethyl-6-Mercaptopurine,,,NO,,79T61;9-Ethyl-6-MP,,,14575,Chemotherapy,Antimetabolite
Ethylchlorformate,,,NO,,,Bladder,,,"Biologic therapy (BRM, immunotherapy)",
Ethynylcytidine,,,NO,Phase II RNA polymerase inhibitor. GlaxoSmithKline.,SB 596168,Other cancer,,,Chemotherapy,RNA polymerase inhibitor
Etidronate Disodium,,,YES,A bisphosphonate that acts on bone to slow the rate of bone turnover; calcium regulator. Treatment of hypercalcemia of malignancy.,Didrocal;Didronel;Disodium Etidronate,,EHDP,,Ancillary Agent,Bisphosphonate
Etoposide,,,NO,"Plant alkaloid. FDA approved use on small-cell lung cancer, testicular cancer.",Dom-Etoposide;Epipodophyllotoxin derivative;Epipodophyllotoxin ethylidene gluco-pyranoside;Eposine;Ethylidene-Lignan P;Etopophos;Podophyllotoxin derivative;Vepesid;VP 16-213;VP-16;VP-16213;Toposar,"Gastric cancer;Hodgkins lymphoma;Lung cancer (NSCLC, SCLC);Non-Hodgkin lymphoma;testicular cancer (Germ cell tumors)",EPEG;VP-16;VP-16-213,141540,Chemotherapy,"Epipodophyllotoxin, topoisomerase II inhibitor;Plant alkaloid"
Etoprine,,,YES,,ethodichlorophen,,DDEP,3062,Ancillary Agent,
Etretinate,,,YES,An oral retinoid (vitamin A analog).,Ro 109359;Ro-10-9359;Ro-109359;Ro109359;Tegison,,,,Differentiation inducing agent,
Exatecan mesylate,,,NO,Topoisomerase 1 inhibitor,DX-8951f,,,,Chemotherapy,Topoisomerase inhibitor
Exemestane,,,NO,"FDA approved postmenopausal breast cancer; Phase II/III for other sites Steroidal aromatase inhibitor. Pharmacia, Pfizer.  For adjuvant treatment of postmenopausal women with ER positive breast cancer who have completed 2-3 years of tamoxifen for completion of a total of 5 consecutive years of adjuvant hormonal therapy.",Aromasin;FEC 24304;FEC-24304;FEC24304;Nikidess;PNU 155971;PNU-155971;PNU155971,Breast;other cancer,,713563,Hormones and hormonal mechanisms,Aromatase inhibitor
F3TDR,,,NO,,Fluridine;Trifluorothymidine;Trifluridine;Virophta;Viroptic,,F3T;TFT,"075520, 529182",Ancillary Agent,Ophthalmic antiviral
FLAG-003,,Glioma,SEE_REMARKS,"March 4, 2016: FDA and the European Medicines Agency both granted Orphan Drug Designation to FLAG-003 for the treatment of glioma.

Orphan status is granted by the FDA to promote the development of products that demonstrate promise for treatment of rare diseases, those that affect fewer than 200,000 Americans annually.

CODE: code this drug in Other Treatment, assign code 2. ",,Brain,,,Other therapy,
FLT3 Ligand,,,NO,"Phase III AML, skin Cytokine immunomodulator. NCI, Immunex Corp.",,Leukemia;skin cancer,,696599,"Biologic therapy (BRM, immunotherapy)",Cytokine
Fadrazole HCl,,,NO,,CGS 16949A;CGS-16949A;CGS16949A,,,,Hormones and hormonal mechanisms,Aromatase inhibitor
Famciclovir,,,YES,An oral prodrug of the antiviral agent penciclovir.,BRL 39123A;BRL-42810;Famvir,,,,AIDS drug,
Fansidar,,,YES,Antimalarial combination product. Prophylaxis for PCP and toxoplasmosis,Pyrimethamine/Sulfadoxine,,,618943,Ancillary Agent;AIDS drug,
Farletuzumab,,,NO,Phase II ovary 2007 A monoclonal antibody that targets folate receptor alpha (FRA) and works via suppression of FRA-mediated signal transduction inducing tumor-specific cytotoxicity by both antibody dependent cellular and complement mediated immune-effector mechanisms. Morphotek.,MORAb 003;MORAb-003;MORAb003,Ovary,,,Chemotherapy,Cytotoxic monoclonal antibody
Favid Vaccine,,,NO,Phase II Favrille.,Favid-04 vaccine,Lymphoma,,,"Biologic therapy (BRM, immunotherapy)",Immunotherapy active
Fazarabine,,,NO,,5-azocytosine arabinoside;Kymarabine,,Ara-AC,281272,Chemotherapy,Antimetabolite
Fedratinib,,Hematopoietic diseases,NO,8/16/2019 FDA approved use in hematopoietic neoplasms,Inrebic,,,,Chemotherapy,JAK-2 inhibitor
Felvizumab,,,NO,A monoclonal antibody directed against the fusion protein of respiratory syncytial virus (RSV).,HuRSV19VHFNS/VK;RSHZ19;RSV monoclonal antibody;SB 209763;SB-209763;SB209763,,,,"Biologic therapy (BRM, immunotherapy)",Anti-RSV Mab
Fenretinide,,,YES,"Phase I brain, Phase II lung, orphan drug status Ewing sarcomas
A synthetic retinoid derivative under investigation as a chemopreventive agent. NCI., Cancer Research UK.
Still under investigation as of April 2012",4-HPR;McN-R-1967,Brain cancer;Ewings sarcoma family of neoplasms;Lung cancer,,374551,Ancillary Agent,Chemoprevention
Fentanyl Citrate,,,YES,A potent narcotic analgesic for breakthrough cancer pain,Actiq;Duragesic;Fentaryl Oralet;Phentanyl Citrate;Sublimaze,,,,Ancillary Agent,
Fialuridine,,,YES,Not found in Drugdex drug evaluation; Rx for cytomegalovirus,FIAU;Fluoroiodoarauracil,,,,AIDS drug,
Filgrastim,,,YES,"A granulocyte colony-stimulating factor (G-CSF). Adjunct of Ganciclovir therapy; treatment of neutropenia

March 2015: Zarxio is the first biosimilar product approved in the United States. A biosimilar product is a biological product that is based on a showing that it is highly similar to an already-approved biological product, known as a reference product.  There are no differences in terms of safety and effectiveness from the reference product (neupogen)",G-CSF;GCSF;Neupogen;Recombinant human granulocyte colony-stimulating factor;Zarxio;r-G-CSF;r-met Hu G-CSF;rhG-CSF,,,614371;614629,Ancillary Agent,
